FeatureIndex_1,FeatureIndex_2,FeatureIndex_3,FeatureIndex_4,FeatureIndex_5,FeatureIndex_6,FeatureIndex_7,FeatureIndex_8,FeatureIndex_9,FeatureIndex_10,FeatureIndex_11,FeatureIndex_12,FeatureIndex_13,FeatureIndex_14,FeatureIndex_15,FeatureIndex_16,FeatureIndex_17,FeatureIndex_18,FeatureIndex_19,FeatureIndex_20,FeatureIndex_21,FeatureIndex_22,FeatureIndex_23,FeatureIndex_24,FeatureIndex_25,FeatureIndex_26,FeatureIndex_27,FeatureIndex_28,FeatureIndex_29,FeatureIndex_30,FeatureIndex_31,FeatureIndex_32,FeatureIndex_33,FeatureIndex_34,FeatureIndex_35,FeatureIndex_36,FeatureIndex_37,FeatureIndex_38,FeatureIndex_39,FeatureIndex_40,FeatureIndex_41,FeatureIndex_42,FeatureIndex_43,FeatureIndex_44,FeatureIndex_45,FeatureIndex_46,FeatureIndex_47,FeatureIndex_48,FeatureIndex_49,FeatureIndex_50,FeatureIndex_51,FeatureIndex_52,FeatureIndex_53,FeatureIndex_54,FeatureIndex_55,FeatureIndex_56,FeatureIndex_57,FeatureIndex_58,FeatureIndex_59,FeatureIndex_60,FeatureIndex_61,FeatureIndex_62,FeatureIndex_63,FeatureIndex_64,TransientName
23,1,21,13,3,2,11,23,11,13,12,10,13,13,1,0,23,21,10,4,22,17,10,14,5,17,17,7,22,10,4,4,2,4,4,4,4,4,15,10,2,15,17,17,13,6,2,2,23,2,8,16,1,23,23,23,1,1,1,17,14,2,1,1,SN2017glu
0,0,6,6,6,9,9,9,6,1,3,1,8,0,6,9,6,3,11,18,11,8,0,9,6,1,12,4,4,21,19,6,9,0,19,10,4,10,11,6,9,6,0,19,14,2,3,0,9,9,6,0,19,1,1,0,9,9,9,9,6,6,0,0,SN2008s1
1,3,1,1,3,1,1,1,14,14,14,21,16,1,14,1,12,12,17,12,17,10,14,3,13,12,14,22,4,12,18,13,13,21,12,17,17,11,10,20,14,14,21,16,22,7,18,13,23,3,5,16,22,7,23,23,8,1,1,8,23,19,1,1,SN2020afy
5,11,12,12,3,15,3,1,19,1,12,7,18,13,5,3,18,10,18,4,7,18,1,5,19,13,11,4,4,21,1,20,11,19,14,22,4,10,1,19,23,1,5,10,7,10,1,1,19,1,3,13,10,21,11,1,21,19,11,11,13,12,23,5,SN2019pmy
18,13,18,18,18,11,14,11,14,14,14,14,19,21,18,18,16,14,21,4,18,1,13,18,13,23,1,22,22,1,18,11,11,14,1,18,4,10,5,14,14,14,20,11,21,16,11,18,12,3,3,3,1,12,18,18,20,12,12,3,13,18,18,18,PTF10ygr
18,21,12,18,18,14,12,18,14,3,21,21,14,18,23,14,13,13,14,19,2,18,21,14,14,23,1,7,7,1,18,11,12,12,12,20,7,23,18,14,20,18,3,3,3,14,13,14,20,3,12,18,21,14,23,13,21,13,13,18,18,21,21,20,SDSS-IISN14035
5,19,5,19,19,11,19,11,11,19,19,8,19,5,19,11,19,5,18,21,11,19,8,5,11,5,7,4,4,12,19,19,11,19,5,7,4,7,20,19,11,11,0,8,18,11,5,5,19,19,1,2,8,19,19,11,11,20,19,20,5,11,5,11,SDSS-IISN14753
18,20,12,18,14,18,3,12,14,14,14,14,18,13,14,14,13,3,1,1,3,1,14,20,21,13,14,4,4,10,20,11,13,3,20,4,7,1,14,18,12,14,23,3,1,14,3,18,13,23,13,20,11,13,11,18,21,14,20,14,10,18,18,13,PSc350131
0,6,6,6,9,9,9,9,6,0,5,5,19,0,6,9,1,3,3,10,12,0,19,6,3,3,13,4,4,12,5,1,6,1,5,7,4,7,3,3,9,0,0,5,10,3,3,0,9,6,6,0,19,1,0,0,6,9,9,9,6,6,0,0,SN2010at
5,5,5,5,19,20,15,5,5,19,15,5,19,19,15,5,5,5,15,5,19,15,5,19,5,5,20,4,4,5,5,5,11,19,0,5,18,5,0,5,1,5,5,19,10,4,20,5,5,15,5,5,6,10,0,5,5,20,5,15,20,19,5,20,SDSS-IISN16144
